date;type;nombre;prix_unitaire;statut;created_at;updated_at
2019-05-06;1;2;1000;1;"2019-05-06 12:13:03";"2019-05-06 12:13:03"
2019-05-04;1;1;1000;1;"2019-05-04 20:02:52";"2019-05-04 20:02:52"
2019-05-02;1;1;1000;1;"2019-05-02 13:37:33";"2019-05-02 13:37:33"
2019-04-29;1;1;1000;1;"2019-05-02 13:38:34";"2019-05-02 13:38:34"
2019-04-27;1;1;1000;1;"2019-05-02 13:38:34";"2019-05-02 13:38:34"
2019-04-22;1;2;1000;1;"2019-05-02 13:38:34";"2019-05-02 13:38:34"
2019-04-20;1;2;1000;1;"2019-05-02 13:38:34";"2019-05-02 13:38:34"
2019-03-31;1;1;900;1;"2019-05-02 13:38:34";"2019-05-02 13:38:34"
2019-03-25;1;1;1000;1;"2019-05-02 13:38:34";"2019-05-02 13:38:34"
2019-03-24;1;1;1000;1;"2019-05-02 13:38:34";"2019-05-02 13:38:34"
2019-03-22;1;2;1000;1;"2019-05-02 13:38:34";"2019-05-02 13:38:34"
2019-03-18;1;1;1000;1;"2019-05-02 13:38:34";"2019-05-02 13:38:34"
2019-03-15;1;1;1000;1;"2019-05-02 13:38:34";"2019-05-02 13:38:34"
2019-03-14;1;1;1000;1;"2019-05-02 13:38:34";"2019-05-02 13:38:34"
2019-03-09;1;2;1000;1;"2019-05-02 13:38:35";"2019-05-02 13:38:35"
2019-03-07;1;4;1000;1;"2019-05-02 13:38:35";"2019-05-02 13:38:35"
2019-03-06;1;2;1000;1;"2019-05-02 13:38:35";"2019-05-02 13:38:35"
2019-03-04;1;2;1000;1;"2019-05-02 13:38:35";"2019-05-02 13:38:35"
2019-03-03;1;1;1000;1;"2019-05-02 13:38:35";"2019-05-02 13:38:35"
2019-03-03;2;1;300;1;"2019-05-02 13:38:35";"2019-05-02 13:38:35"
2019-02-22;1;1;1000;1;"2019-05-02 13:38:35";"2019-05-02 13:38:35"
2019-02-20;1;2;1000;1;"2019-05-02 13:38:35";"2019-05-02 13:38:35"
2019-02-18;1;2;1000;1;"2019-05-02 13:38:35";"2019-05-02 13:38:35"
