date;type;nombre;prix_unitaire;statut;created_at;updated_at
2019-04-29;1;1;1000;1;"2019-04-29 10:40:54";"2019-04-29 10:40:54"
2019-04-27;1;1;1000;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
2019-04-22;1;2;1000;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
2019-04-20;1;2;1000;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
2019-03-31;1;1;900;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
2019-03-25;1;1;1000;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
2019-03-24;1;1;1000;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
2019-03-22;1;2;1000;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
2019-03-18;1;1;1000;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
2019-03-15;1;1;1000;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
2019-03-14;1;1;1000;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
2019-03-09;1;2;1000;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
2019-03-07;1;4;1000;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
2019-03-06;1;2;1000;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
2019-03-04;1;2;1000;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
2019-03-03;2;1;300;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
2019-03-03;1;1;1000;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
2019-02-22;1;1;1000;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
2019-02-20;1;2;1000;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
2019-02-18;1;2;1000;1;"2019-04-29 10:35:11";"2019-04-29 10:35:11"
