date;type;nombre;prix_unitaire;statut;created_at;updated_at
2019-04-22;1;2;1000;1;"2019-04-22 20:21:55";"2019-04-22 20:21:55"
2019-04-20;1;2;1000;1;"2019-04-20 19:22:46";"2019-04-20 19:22:46"
2019-03-31;1;1;900;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-25;1;1;1000;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-24;1;1;1000;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-22;1;2;1000;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-18;1;1;1000;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-15;1;1;1000;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-14;1;1;1000;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-09;1;2;1000;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-07;1;4;1000;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-06;1;2;1000;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-04;1;2;1000;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-03;2;1;300;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-03;1;1;1000;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-02-22;1;1;1000;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-02-20;1;2;1000;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-02-18;1;2;1000;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
