date;type;nombre;prix_unitaire;statut;created_at;updated_at
2019-07-01;4;1;3500;1;"2019-07-03 06:52:39";"2019-07-03 06:52:39"
2019-06-03;5;1;6000;1;"2019-06-24 23:39:53";"2019-06-24 23:39:53"
2019-06-01;6;1;4000;1;"2019-06-24 23:39:53";"2019-06-24 23:39:53"
2019-05-31;2;1;2500;1;"2019-06-24 23:39:53";"2019-06-24 23:39:53"
2019-05-31;6;1;3500;1;"2019-06-24 23:39:53";"2019-06-24 23:39:53"
2019-05-27;6;1;4000;1;"2019-06-24 23:39:53";"2019-06-24 23:39:53"
2019-05-22;5;1;5500;1;"2019-06-24 23:39:53";"2019-06-24 23:39:53"
2019-05-22;3;1;2500;1;"2019-06-24 23:39:53";"2019-06-24 23:39:53"
2019-05-22;1;1;3500;1;"2019-06-24 23:39:53";"2019-06-24 23:39:53"
2019-05-16;2;1;3000;1;"2019-06-24 23:39:53";"2019-06-24 23:39:53"
2019-05-16;6;1;3500;1;"2019-06-24 23:39:53";"2019-06-24 23:39:53"
2019-04-23;12;1;4000;1;"2019-06-24 23:39:53";"2019-06-24 23:39:53"
2019-04-22;3;2;1500;1;"2019-06-24 23:39:53";"2019-06-24 23:39:53"
2019-04-22;2;1;3000;1;"2019-06-24 23:39:53";"2019-06-24 23:39:53"
2019-04-17;3;1;2000;1;"2019-06-24 23:39:53";"2019-06-24 23:39:53"
2019-04-17;1;1;2000;1;"2019-06-24 23:39:53";"2019-06-24 23:39:53"
2019-03-19;2;1;4000;1;"2019-06-24 23:39:53";"2019-06-24 23:39:53"
2019-03-16;1;1;3000;1;"2019-06-24 23:39:53";"2019-06-24 23:39:53"
2019-03-14;4;1;4500;1;"2019-06-24 23:39:54";"2019-06-24 23:39:54"
2019-02-19;6;1;4500;1;"2019-06-24 23:39:54";"2019-06-24 23:39:54"
2019-02-19;2;1;3000;1;"2019-06-24 23:39:54";"2019-06-24 23:39:54"
2019-02-14;2;1;2500;1;"2019-06-24 23:39:54";"2019-06-24 23:39:54"
2019-02-14;6;1;5000;1;"2019-06-24 23:39:54";"2019-06-24 23:39:54"
2019-02-14;5;1;5000;1;"2019-06-24 23:39:54";"2019-06-24 23:39:54"
2019-02-12;1;1;2500;1;"2019-06-24 23:39:54";"2019-06-24 23:39:54"
2019-02-04;7;1;1000;1;"2019-06-24 23:39:54";"2019-06-24 23:39:54"
2019-02-02;1;1;2500;1;"2019-06-24 23:39:54";"2019-06-24 23:39:54"
2019-01-30;1;2;2500;1;"2019-06-24 23:39:54";"2019-06-24 23:39:54"
2019-01-21;7;1;1000;1;"2019-06-24 23:39:54";"2019-06-24 23:39:54"
2019-01-18;4;1;5000;1;"2019-06-24 23:39:54";"2019-06-24 23:39:54"
2019-01-17;1;1;2000;1;"2019-06-24 23:39:54";"2019-06-24 23:39:54"
2019-01-14;1;1;2500;1;"2019-06-24 23:39:54";"2019-06-24 23:39:54"
2019-01-08;2;1;2500;1;"2019-06-24 23:39:54";"2019-06-24 23:39:54"
