date;type;nombre;prix_unitaire;statut;created_at;updated_at
2019-08-13;1;4;1000;1;"2019-08-13 15:43:49";"2019-08-13 15:43:49"
2019-08-11;1;1;1000;1;"2019-08-13 15:43:32";"2019-08-13 15:43:32"
2019-08-10;1;1;1000;1;"2019-08-13 15:43:23";"2019-08-13 15:43:23"
2019-08-09;1;5;1000;1;"2019-08-13 15:43:11";"2019-08-13 15:43:11"
2019-08-05;1;2;1000;1;"2019-08-13 15:42:16";"2019-08-13 15:42:16"
2019-08-04;1;1;1000;1;"2019-08-13 15:42:07";"2019-08-13 15:42:07"
2019-07-30;1;3;1000;1;"2019-08-13 15:41:47";"2019-08-13 15:41:47"
2019-07-29;1;1;1000;1;"2019-08-13 15:41:28";"2019-08-13 15:41:28"
2019-07-25;1;1;1000;1;"2019-08-13 15:41:07";"2019-08-13 15:41:07"
2019-07-22;1;1;1500;1;"2019-08-13 15:40:46";"2019-08-13 15:40:46"
2019-07-20;1;1;1000;1;"2019-08-13 15:40:05";"2019-08-13 15:40:05"
2019-07-18;1;2;1000;1;"2019-08-13 15:39:49";"2019-08-13 15:39:49"
2019-07-17;1;3;1000;1;"2019-08-13 15:39:34";"2019-08-13 15:39:34"
2019-07-16;1;1;1000;1;"2019-08-13 15:39:09";"2019-08-13 15:39:09"
2019-07-15;1;1;1000;1;"2019-08-13 15:38:51";"2019-08-13 15:38:51"
2019-07-12;1;1;1000;1;"2019-08-13 15:25:33";"2019-08-13 15:25:33"
2019-07-11;1;1;1000;1;"2019-08-13 15:25:17";"2019-08-13 15:25:17"
2019-07-09;1;1;1000;1;"2019-08-13 15:24:39";"2019-08-13 15:24:39"
2019-07-01;1;1;1000;1;"2019-07-03 06:52:06";"2019-07-03 06:52:06"
2019-06-28;1;1;1000;1;"2019-06-28 19:40:52";"2019-06-28 19:40:52"
2019-06-24;1;1;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-06-21;1;1;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-06-19;1;1;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-06-17;1;1;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-06-14;1;1;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-06-13;1;1;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-06-11;1;3;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-06-06;1;1;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-06-05;1;1;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-06-03;1;1;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-05-29;1;1;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-05-27;1;3;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-05-24;1;1;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-05-18;1;1;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-05-17;2;2;300;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-05-17;1;3;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-05-16;2;11;300;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-05-13;1;3;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-05-07;1;1;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-05-06;1;2;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-05-04;1;1;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-05-02;1;1;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-04-29;1;1;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-04-27;1;1;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-04-22;1;2;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-04-20;1;2;1000;1;"2019-06-24 23:40:06";"2019-06-24 23:40:06"
2019-04-18;1;1;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-04-16;1;1;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-04-11;1;1;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-04-09;1;1;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-04-03;1;1;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-03-31;1;1;900;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-03-25;1;1;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-03-24;1;1;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-03-22;1;2;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-03-18;1;1;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-03-15;1;1;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-03-14;1;1;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-03-09;1;2;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-03-07;1;4;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-03-06;1;2;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-03-04;1;2;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-03-03;1;1;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-03-03;2;1;300;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-02-22;1;1;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-02-20;1;2;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
2019-02-18;1;2;1000;1;"2019-06-24 23:40:07";"2019-06-24 23:40:07"
