date;fond;pret;espece;compte_momo;compte2;frais_transfert;commission;statut;created_at;updated_at
2019-03-15;200000;0;2:0:7:1:0:0:1:0;87720;7845;0;73567;1;"2019-06-24 23:40:29";"2019-08-16 23:55:20"
2019-03-16;200000;0;18:0:0:0:1:0:0:0;2650;17792;100;23756;1;"2019-06-24 23:40:29";"2019-06-24 23:40:29"
2019-03-17;200000;0;18:0:1:1:0:1:0:0;50;17792;0;23897;1;"2019-06-24 23:40:29";"2019-06-24 23:40:29"
2019-03-18;200000;0;18:0:1:1:0:0:0:0;2050;15667;50;23913;1;"2019-06-24 23:40:29";"2019-06-24 23:40:29"
2019-03-19;200000;0;19:0:0:0:0:1:1:1;6050;4617;50;23951;1;"2019-06-24 23:40:29";"2019-06-24 23:40:29"
2019-03-20;200000;0;9:0:2:0:1:0:0:1;52050;54882;0;24365;1;"2019-06-24 23:40:29";"2019-06-24 23:40:29"
2019-03-21;200000;0;7:0:0:0:1:0:1:1;106550;24232;100;24656;1;"2019-06-24 23:40:29";"2019-06-24 23:40:29"
2019-03-22;200000;50000;7:0:1:1:0:3:1:1;108200;70132;50;24843;1;"2019-06-24 23:40:29";"2019-06-24 23:40:29"
2019-03-23;200000;0;11:1:2:0:0:2:0:1;62200;70032;100;24968;1;"2019-06-24 23:40:29";"2019-06-24 23:40:29"
2019-03-24;200000;0;6:1:0:1:1:4:0:1;114700;70032;0;25323;1;"2019-06-24 23:40:29";"2019-06-24 23:40:29"
2019-03-25;200000;-50000;9:1:0:0:0:2:1:1;106600;82;0;25507;1;"2019-06-24 23:40:29";"2019-06-24 23:40:29"
2019-03-26;200000;0;18:1:1:1:1:0:0:1;12500;82;0;25741;1;"2019-06-24 23:40:29";"2019-06-24 23:40:29"
2019-03-27;200000;0;17:0:1:1:0:0:0:1;28000;82;0;25859;1;"2019-06-24 23:40:29";"2019-06-24 23:40:29"
2019-03-28;250000;50000;8:1:1:1:1:4:0:1;82650;131632;0;26359;1;"2019-06-24 23:40:30";"2019-06-24 23:40:30"
