libelle;info;position;statut
1.png;MENKAMFrancis ;1;1
billetInvitationVIP.png;billetInvitationVIP;1000;1
carteInvitationEnBoisVIP.png;carteInvitationEnBoisVIP;1000;1
chemise&SousMain.png;chemiseSousMain;1000;1
comptoireAcrylic&Guach.png;comptoireAcrylicGuach;1000;1
comptoireAgenda.png;comptoireAgenda;1000;1
comptoireAgrafes.png;comptoireAgrafes;1000;1
comptoireAgrafeuses.png;comptoireAgrafeuses;1000;1
comptoireBlockNote.png;comptoireBlockNote;1000;1
comptoireBlockNoteVIP.png;comptoireBlockNoteVIP;1000;1
comptoireBobinettes.png;comptoireBobinettes;1000;1
comptoireBoitierCachets.png;comptoireBoitierCachets;1000;1
comptoireCalculatrices.png;comptoireCalculatrices;1000;1
comptoireCollePapiers.png;comptoireCollePapiers;1000;1
comptoireCouvertures&Regles.png;comptoireCouverturesRegles;1000;1
comptoireCouvertures&Regles2.png;comptoireCouverturesRegles2;1000;1
comptoireCraies.png;comptoireCraies;1000;1
comptoireCrayon&TailleCrayons&Marqueurs.png;comptoireCrayonTailleCrayonsMarqueurs;1000;1
comptoireCrayonCouleur.png;comptoireCrayonCouleur;1000;1
comptoireEncreDeskJet.png;comptoireEncreDeskJet;1000;1
comptoireEncreLaserJet.png;comptoireEncreLaserJet;1000;1
comptoireEnveloppe.png;comptoireEnveloppe;1000;1
comptoireEnveloppe2.png;comptoireEnveloppe2;1000;1
comptoireExterieur.png;comptoireExterieur;1000;1
comptoireExterieur2.png;comptoireExterieur2;1000;1
comptoireFormatA4.png;comptoireFormatA4;1000;1
comptoireGomme&tailleCrayon.png;comptoireGommetailleCrayon;1000;1
comptoireInterieur.png;comptoireInterieur;1000;1
comptoireManifolds.png;comptoireManifolds;1000;1
comptoireMarqueurs&couleurs&feutres.png;comptoireMarqueurscouleursfeutres;1000;1
comptoireMarqueursPermanant&Surligneur.png;comptoireMarqueursPermanantSurligneur;1000;1
comptoireMarqueursWhiteBoard.png;comptoireMarqueursWhiteBoard;1000;1
comptoireMemo.png;comptoireMemo;1000;1
comptoireOmduleur&RegulateurTension.png;comptoireOmduleurRegulateurTension;1000;1
comptoirePerforateurs.png;comptoirePerforateurs;1000;1
comptoireRecus&Facturier.png;comptoireRecusFacturier;1000;1
comptoireRegistre&BlockNote.png;comptoireRegistreBlockNote;1000;1
comptoireRegle&TailleCrayons.png;comptoireRegleTailleCrayons;1000;1
comptoireStylos.png;comptoireStylos;1000;1
comptoireStylos2.png;comptoireStylos2;1000;1
comptoireStylosRegles.png;comptoireStylosRegles;1000;1
comptoireStylosVIP&Scotch.png;comptoireStylosVIPScotch;1000;1
comptoireStylosVIP.png;comptoireStylosVIP;1000;1
comptoireTamponEncreur.png;comptoireTamponEncreur;1000;1
ecranPlat.png;ecranPlat;1000;1
livres&Calculatrices.png;livresCalculatrices;1000;1
photocopieuse.png;photocopieuse;1000;1
plaque.png;plaque;2;1
porteStylo.png;porteStylo;1000;1
sacADosAldulte.png;sacADosAldulte;1000;1
sacADosEnfants.png;sacADosEnfants;1000;1
tableauBlanc.png;tableauBlanc;1000;1
tableauBlanc2.png;tableauBlanc2;1000;1
trophets.png;trophets;1000;1
vueAerieneInterieur.png;vueAerieneInterieur;6;1
vueAerieneInterieur2.png;vueAerieneInterieur2;6;1
VueLateraleInterieur.png;VueLateraleInterieur;5;1
VueLateraleInterieur2.png;VueLateraleInterieur2;5;1
VueLateraleInterieur3.png;VueLateraleInterieur3;5;1
VueLateraleInterieur4.png;VueLateraleInterieur4;5;1
VueLateraleInterieur5.png;VueLateraleInterieur5;5;1
vuePrincipaleExterieur.png;vuePrincipaleExterieur;3;1
VuePrincipaleInterieur.png;VuePrincipaleInterieur;4;1
