id;idparent;idfils;libelle;lien;icon;route;controlleur;fichiercontroller;fichierview;groupeuser;rang;valide;statut
1;0;1;Application;;cogs;;;ApplicationController;Application;2;1;0;1
2;0;1;Utilisateurs;;user;;;UserController;Utilisateurs;3;2;0;1
3;0;1;Groupe Utilisateurs;;users;;;TlistGroupeUserController;GroupeUtilisateurs;2;3;0;1
4;0;1;Gestions;;folder;;;GestionsController;Gestions;3;4;0;1
5;0;1;Contacts;Contacts;contact;contact;ContactController@index;ContactController;Contacts;4;5;0;1
6;0;1;Messagerie;Messagerie;inbox;inbox;InboxController@index;InboxController;Messagerie;4;6;0;1
7;0;1;Galeries;Galeries;camera-retro;galerie;GalerieController@index;GalerieController;Galeries;4;7;0;1
8;0;1;Parametre;;cog;;;ParametreController;Parametre;4;8;0;1
9;0;1;Apropos;Apropos;certificate;;;;Apropos;4;9;0;1
11;1;2;Maintenance;Application\Maintenance;cog;maintenance;ApplicationController@Maintenance;;Maintenance;2;1;0;1
21;2;2;Nouveau Utilisateur;Utilisateurs\Nouveau;pencil-square-o;addUser;UserController@nouveau;;NouveauUtilisateur;2;1;0;1
22;2;2;Modifier Utilisateur;Utilisateurs\Modification;pencil-square-o;updateUser;UserController@modification;;ModifierUtilisateur;3;2;0;1
31;3;2;Nouveau Groupe Utilisateur;GroupeUtilisateur\Nouveau;pencil-square-o;addGroupeUser;TlistGroupeUserController@nouveau;;NouveauGroupeUtilisateur;2;1;0;1
32;3;2;Modifier Groupe Utilisateur;GroupeUtilisateur\Modification;pencil-square-o;updateGroupeUser;TlistGroupeUserController@modification;;ModifierGroupeUtilisateur;3;2;0;1
41;4;2;Cachets;;;;;;Cachets;3;1;0;1
42;4;2;Photos;;;;;;Photos;3;2;0;1
43;4;2;MoMo;;;;;;MoMo;3;3;0;1
44;4;2;Personnelle;Gestions\Personnelle;bookmark-o;gestionPerso;GestionsController@personnelle;;Personnelle;4;4;0;1
411;41;3;Recettes Cachet;Gestions\Cachet\Recettes;adjust;recetteCachet;GestionsController@recetteCachet;;RecettesCachet;3;1;0;1
412;41;3;Depenses Cachet;Gestions\Cachet\Depenses;exchange;depenseCachet;GestionsController@depenseCachet;;DepensesCachet;2;2;0;1
413;41;3;Bilan Cachet;Gestions\Cachet\Bilan;bar-chart-o;bilanCachet;GestionsController@bilanCachet;;BilanCachet;2;3;0;1
421;42;3;Recette Photo;Gestions\Photos\Recettes;adjust;recette;GestionsController@recettePhoto;;RecettePhoto;3;1;0;1
422;42;3;Depense Photo;Gestions\Photos\Depenses;exchange;depense;GestionsController@depensePhoto;;DepensePhoto;2;2;0;1
423;42;3;Bilan Photo;Gestions\Photos\Bilan;bar-chart-o;bilan;GestionsController@bilanPhoto;;BilanPhoto;2;3;0;1
431;43;3;Recettes MoMo;Gestions\MoMo\Recette;adjust;recette;GestionsController@recetteMoMo;;Recettes MoMo;3;1;0;1
432;43;3;Bilan MoMo;Gestions\MoMo\Bilan;bar-chart-o;bilan;GestionsController@bilanMoMo;;BilanMoMo;2;2;0;1
81;8;2;Profile;Parametre\Profile;user;profile;ParametreController@profile;;Profile;4;1;0;1
