Date;FondMoMO;Autres;Especes;CompteAgent;Compteperso;FraisTransaction;Commissions
15/03/2019;200000;0;154500;3650;42892;0;23753
16/03/2019;200000;0;180500;2650;17792;100;23756
17/03/2019;200000;0;183100;50;17792;0;23897
18/03/2019;200000;0;183000;2050;15667;50;23913
19/03/2019;200000;0;190175;6050;4617;50;23951
20/03/2019;200000;0;94525;52050;54882;0;24365
21/03/2019;200000;0;70575;106550;24232;100;24656
22/03/2019;200000;50000;73375;108200;70132;50;24843
23/03/2019;200000;0;119225;62200;70032;100;24968
24/03/2019;200000;0;66925;114700;70032;0;25323
25/03/2019;200000;-50000;95275;106600;82;0;25507
26/03/2019;200000;0;188525;12500;82;0;25741
27/03/2019;200000;0;173025;28000;82;0;25859
28/03/2019;250000;50000;88925;82650;131632;0;26359
29/03/2019;250000;0;191400;110275;1482;50;26788
30/03/2019;250000;0;302000;675;432;50;27607
31/03/2019;250000;-10000;292000;675;432;0;27607
01/04/2019;250000;0;92100;200675;282;50;28250
